🇨🇳央视频道,#genre#
CCTV5,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://39.135.133.5/wh7f454c46tw3265364202_-80762788/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1749480883&from=5&hms_devid=1255&online=1749480883&vqe=3 
CCTV5,http://111.43.104.93:85/tsfile/live/128/2005_1.m3u8?key=txiptv$黑龙江移动 
CCTV5+,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225603/.m3u8
CCTV5+,http://39.134.65.213/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.247/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.251/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.239/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.209/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.249/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.211/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.245/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.243/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.215/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.67.130/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.66.46:80/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.207/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.196/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.65.194/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://[2409:8087:1a15:10d1::37]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8 
CCTV5+,http://39.135.133.9/wh7f454c46tw3275374631_-145497159/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?icpid=88888888&RTS=1749480893&from=5&hms_devid=1256&online=1749480893&vqe=3 
CCTV5+,http://111.43.104.93:85/tsfile/live/129/2006_1.m3u8?key=txiptv$黑龙江移动 
CCTV6,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226010/.m3u8
CCTV6,http://39.134.65.196/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.251/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.209/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.249/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.215/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.247/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.239/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.211/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.200/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.207/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.65.213/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://39.135.136.66/wh7f454c46tw3284589252_364588119/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1749480903&from=5&hms_devid=1140&online=1749480903&vqe=3 
CCTV6,http://111.43.104.93:85/tsfile/live/130/2007_1.m3u8?key=txiptv$黑龙江移动 
CCTV7,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225733/.m3u8
CCTV7,http://39.134.65.209/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.194/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.247/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.251/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.66.55:80/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.243/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.211/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.200/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.207/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.213/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.249/PLTV/88888888/224/3221225671/1.m3u8
